;chave;NOME;UF;GEOCOD_IBGE;COD_TSE;AJUSTE
101;al porto de pedras;PORTO DE PEDRAS;AL;2707404;28479;
102;al porto real do colegio;PORTO REAL DO COLÉGIO;AL;2707503;28495;
103;al quebrangulo;QUEBRANGULO;AL;2707602;28517;
104;al rio largo;RIO LARGO;AL;2707701;28533;
105;al roteiro;ROTEIRO;AL;2707800;28550;
106;al santa luzia do norte;SANTA LUZIA DO NORTE;AL;2707909;28576;
107;al santana do ipanema;SANTANA DO IPANEMA;AL;2708006;28592;
108;al santana do mundau;SANTANA DO MUNDAÚ;AL;2708105;28614;
109;al sao bras;SÃO BRÁS;AL;2708204;28630;
110;al sao jose da laje;SÃO JOSÉ DA LAJE;AL;2708303;28657;
111;al sao jose da tapera;SÃO JOSÉ DA TAPERA;AL;2708402;28673;
112;al sao luis do quitunde;SÃO LUÍS DO QUITUNDE;AL;2708501;28690;
113;al sao miguel dos campos;SÃO MIGUEL DOS CAMPOS;AL;2708600;28711;
114;al sao miguel dos milagres;SÃO MIGUEL DOS MILAGRES;AL;2708709;28738;
115;al sao sebastiao;SÃO SEBASTIÃO;AL;2708808;28754;
116;al satuba;SATUBA;AL;2708907;28770;
117;al senador rui palmeira;SENADOR RUI PALMEIRA;AL;2708956;28916;
118;al tanque darca;TANQUE D'ARCA;AL;2709004;28797;
119;al taquarana;TAQUARANA;AL;2709103;28819;
120;al teotonio vilela;TEOTÔNIO VILELA;AL;2709152;28932;
121;al traipu;TRAIPU;AL;2709202;28835;
122;al uniao dos palmares;UNIÃO DOS PALMARES;AL;2709301;28851;
123;al vicosa;VIÇOSA;AL;2709400;28878;
124;am alvaraes;ALVARÃES;AM;1300029;2895;
125;am amatura;AMATURÁ;AM;1300060;2917;
126;am anama;ANAMÃ;AM;1300086;2933;
127;am anori;ANORI;AM;1300102;2038;
128;am apui;APUÍ;AM;1300144;2003;
129;am atalaia do norte;ATALAIA DO NORTE;AM;1300201;2054;
130;am autazes;AUTAZES;AM;1300300;2070;
131;am barcelos;BARCELOS;AM;1300409;2097;
132;am barreirinha;BARREIRINHA;AM;1300508;2119;
133;am benjamin constant;BENJAMIN CONSTANT;AM;1300607;2135;
134;am beruri;BERURI;AM;1300631;2950;
135;am boa vista do ramos;BOA VISTA DO RAMOS;AM;1300680;2976;
136;am boca do acre;BOCA DO ACRE;AM;1300706;2151;
137;am borba;BORBA;AM;1300805;2178;
138;am caapiranga;CAAPIRANGA;AM;1300839;2992;
139;am canutama;CANUTAMA;AM;1300904;2194;
140;am carauari;CARAUARI;AM;1301001;2216;
141;am careiro;CAREIRO;AM;1301100;2232;
142;am careiro da varzea;CAREIRO DA VÁRZEA;AM;1301159;2046;
143;am coari;COARI;AM;1301209;2259;
144;am codajas;CODAJÁS;AM;1301308;2275;
145;am eirunepe;EIRUNEPÉ;AM;1301407;2291;
146;am envira;ENVIRA;AM;1301506;2313;
147;am fonte boa;FONTE BOA;AM;1301605;2330;
148;am guajara;GUAJARÁ;AM;1301654;2020;
149;am humaita;HUMAITÁ;AM;1301704;2356;
150;am ipixuna;IPIXUNA;AM;1301803;2399;
151;am iranduba;IRANDUBA;AM;1301852;98353;
152;am itacoatiara;ITACOATIARA;AM;1301902;2410;
153;am itamarati;ITAMARATI;AM;1301951;98370;
154;am itapiranga;ITAPIRANGA;AM;1302009;2437;
155;am japura;JAPURÁ;AM;1302108;2453;
156;am jurua;JURUÁ;AM;1302207;2470;
157;am jutai;JUTAÍ;AM;1302306;2496;
158;am labrea;LÁBREA;AM;1302405;2518;
159;am manacapuru;MANACAPURU;AM;1302504;2534;
160;am manaquiri;MANAQUIRI;AM;1302553;98396;
161;am manaus;MANAUS;AM;1302603;2550;
162;am manicore;MANICORÉ;AM;1302702;2577;
163;am maraa;MARAÃ;AM;1302801;2593;
164;am maues;MAUÉS;AM;1302900;2615;
165;am nhamunda;NHAMUNDÁ;AM;1303007;2631;
166;am nova olinda do norte;NOVA OLINDA DO NORTE;AM;1303106;2658;
167;am novo airao;NOVO AIRÃO;AM;1303205;2011;
168;am novo aripuana;NOVO ARIPUANÃ;AM;1303304;2674;
169;am parintins;PARINTINS;AM;1303403;2690;
170;am pauini;PAUINI;AM;1303502;2712;
171;am presidente figueiredo;PRESIDENTE FIGUEIREDO;AM;1303536;98418;
172;am rio preto da eva;RIO PRETO DA EVA;AM;1303569;98434;
173;am santa isabel do rio negro;SANTA ISABEL DO RIO NEGRO;AM;1303601;2372;
174;am santo antonio do ica;SANTO ANTÔNIO DO IÇÁ;AM;1303700;2739;
175;am sao gabriel da cachoeira;SÃO GABRIEL DA CACHOEIRA;AM;1303809;2836;
176;am sao paulo de olivenca;SÃO PAULO DE OLIVENÇA;AM;1303908;2755;
177;am sao sebastiao do uatuma;SÃO SEBASTIÃO DO UATUMÃ;AM;1303957;98450;
178;am silves;SILVES;AM;1304005;2771;
179;am tabatinga;TABATINGA;AM;1304062;98477;
180;am tapaua;TAPAUÁ;AM;1304104;2798;
181;am tefe;TEFÉ;AM;1304203;2810;
182;am tonantins;TONANTINS;AM;1304237;98515;
183;am uarini;UARINI;AM;1304260;98493;
184;am urucara;URUCARÁ;AM;1304302;2852;
185;am urucurituba;URUCURITUBA;AM;1304401;2879;
186;ap agua branca do amapari;ÁGUA BRANCA DO AMAPARI;AP;1600154;6084;S
187;ap amapa;AMAPÁ;AP;1600105;6017;
188;ap calcoene;CALÇOENE;AP;1600204;6033;
189;ap cutias;CUTIAS;AP;1600212;6068;
190;ap ferreira gomes;FERREIRA GOMES;AP;1600238;6114;
191;ap itaubal;ITAUBAL;AP;1600253;6041;
192;ap laranjal do jari;LARANJAL DO JARI;AP;1600279;6130;
193;ap macapa;MACAPÁ;AP;1600303;6050;
194;ap mazagao;MAZAGÃO;AP;1600402;6076;
195;ap oiapoque;OIAPOQUE;AP;1600501;6092;
196;ap porto grande;PORTO GRANDE;AP;1600535;6025;
197;ap pracuuba;PRACUÚBA;AP;1600550;6009;
198;ap santana;SANTANA;AP;1600600;6157;
199;ap serra do navio;SERRA DO NAVIO;AP;1600055;6106;
200;ap tartarugalzinho;TARTARUGALZINHO;AP;1600709;6173;
201;ap vitoria do jari;VITÓRIA DO JARI;AP;1600808;6122;
202;ba abaira;ABAÍRA;BA;2900108;33014;
203;ba abare;ABARÉ;BA;2900207;33030;
204;ba acajutiba;ACAJUTIBA;BA;2900306;33057;
205;ba adustina;ADUSTINA;BA;2900355;33065;
206;ba agua fria;ÁGUA FRIA;BA;2900405;33073;
207;ba aiquara;AIQUARA;BA;2900603;33111;
208;ba alagoinhas;ALAGOINHAS;BA;2900702;33138;
209;ba alcobaca;ALCOBAÇA;BA;2900801;33154;
210;ba almadina;ALMADINA;BA;2900900;33170;
211;ba amargosa;AMARGOSA;BA;2901007;33197;
212;ba amelia rodrigues;AMÉLIA RODRIGUES;BA;2901106;33219;
213;ba america dourada;AMÉRICA DOURADA;BA;2901155;30716;
214;ba anage;ANAGÉ;BA;2901205;33235;
215;ba andarai;ANDARAÍ;BA;2901304;33251;
216;ba andorinha;ANDORINHA;BA;2901353;33260;
217;ba angical;ANGICAL;BA;2901403;33278;
218;ba anguera;ANGUERA;BA;2901502;33294;
219;ba antas;ANTAS;BA;2901601;33316;
