;chave;NOME;UF;GEOCOD_IBGE;COD_TSE;AJUSTE
1343;ma vitorino freire;VITORINO FREIRE;MA;2113009;9539;
1344;ma ze doca;ZÉ DOCA;MA;2114007;9717;
1345;mg abadia dos dourados;ABADIA DOS DOURADOS;MG;3100104;40010;
1346;mg abaete;ABAETÉ;MG;3100203;40037;
1347;mg abre campo;ABRE CAMPO;MG;3100302;40053;
1348;mg acaiaca;ACAIACA;MG;3100401;40070;
1349;mg acucena;AÇUCENA;MG;3100500;40096;
1350;mg agua boa;ÁGUA BOA;MG;3100609;40118;
1351;mg agua comprida;ÁGUA COMPRIDA;MG;3100708;40134;
1352;mg aguanil;AGUANIL;MG;3100807;40150;
1353;mg aguas formosas;ÁGUAS FORMOSAS;MG;3100906;40177;
1354;mg aguas vermelhas;ÁGUAS VERMELHAS;MG;3101003;40193;
1355;mg aimores;AIMORÉS;MG;3101102;40215;
1356;mg aiuruoca;AIURUOCA;MG;3101201;40231;
1357;mg alagoa;ALAGOA;MG;3101300;40258;
1358;mg albertina;ALBERTINA;MG;3101409;40274;
1359;mg alem paraiba;ALÉM PARAÍBA;MG;3101508;40290;
1360;mg alfenas;ALFENAS;MG;3101607;40312;
1361;mg alfredo vasconcelos;ALFREDO VASCONCELOS;MG;3101631;40002;
1362;mg almenara;ALMENARA;MG;3101706;40339;
1363;mg alpercata;ALPERCATA;MG;3101805;40355;
1364;mg alpinopolis;ALPINÓPOLIS;MG;3101904;40371;
1365;mg alterosa;ALTEROSA;MG;3102001;40398;
1366;mg alto caparao;ALTO CAPARAÓ;MG;3102050;41661;
1367;mg alto jequitiba;ALTO JEQUITIBÁ;MG;3153509;50695;
1368;mg alto rio doce;ALTO RIO DOCE;MG;3102100;40410;
1369;mg alvarenga;ALVARENGA;MG;3102209;40436;
1370;mg alvinopolis;ALVINÓPOLIS;MG;3102308;40452;
1371;mg alvorada de minas;ALVORADA DE MINAS;MG;3102407;40479;
1372;mg amparo do serra;AMPARO DO SERRA;MG;3102506;40495;
1373;mg andradas;ANDRADAS;MG;3102605;40517;
1374;mg andrelandia;ANDRELÂNDIA;MG;3102803;40550;
1375;mg angelandia;ANGELÂNDIA;MG;3102852;41688;
1376;mg antonio carlos;ANTÔNIO CARLOS;MG;3102902;40576;
1377;mg antonio dias;ANTÔNIO DIAS;MG;3103009;40592;
1378;mg antonio prado de minas;ANTÔNIO PRADO DE MINAS;MG;3103108;40614;
1379;mg aracai;ARAÇAÍ;MG;3103207;40630;
1380;mg aracitaba;ARACITABA;MG;3103306;40657;
1381;mg aracuai;ARAÇUAÍ;MG;3103405;40673;
1382;mg araguari;ARAGUARI;MG;3103504;40690;
1383;mg arantina;ARANTINA;MG;3103603;40711;
1384;mg araponga;ARAPONGA;MG;3103702;40738;
1385;mg arapora;ARAPORÃ;MG;3103751;40029;
1386;mg arapua;ARAPUÁ;MG;3103801;40754;
1387;mg araujos;ARAÚJOS;MG;3103900;40770;
1388;mg araxa;ARAXÁ;MG;3104007;40797;
1389;mg arceburgo;ARCEBURGO;MG;3104106;40819;
1390;mg arcos;ARCOS;MG;3104205;40835;
1391;mg areado;AREADO;MG;3104304;40851;
1392;mg argirita;ARGIRITA;MG;3104403;40878;
1393;mg aricanduva;ARICANDUVA;MG;3104452;41700;
1394;mg arinos;ARINOS;MG;3104502;40894;
1395;mg astolfo dutra;ASTOLFO DUTRA;MG;3104601;40916;
1396;mg ataleia;ATALÉIA;MG;3104700;40932;
1397;mg augusto de lima;AUGUSTO DE LIMA;MG;3104809;40959;
1398;mg baependi;BAEPENDI;MG;3104908;40975;
1399;mg baldim;BALDIM;MG;3105004;40991;
1400;mg bambui;BAMBUÍ;MG;3105103;41017;
1401;mg bandeira;BANDEIRA;MG;3105202;41033;
1402;mg bandeira do sul;BANDEIRA DO SUL;MG;3105301;41050;
1403;mg barao de cocais;BARÃO DE COCAIS;MG;3105400;41076;
1404;mg barao de monte alto;BARÃO DE MONTE ALTO;MG;3105509;41092;
1405;mg barbacena;BARBACENA;MG;3105608;41114;
1406;mg barra longa;BARRA LONGA;MG;3105707;41130;
1407;mg barroso;BARROSO;MG;3105905;41173;
1408;mg bela vista de minas;BELA VISTA DE MINAS;MG;3106002;41190;
1409;mg belmiro braga;BELMIRO BRAGA;MG;3106101;41211;
1410;mg belo horizonte;BELO HORIZONTE;MG;3106200;41238;
1411;mg belo oriente;BELO ORIENTE;MG;3106309;41254;
1412;mg belo vale;BELO VALE;MG;3106408;41270;
1413;mg berilo;BERILO;MG;3106507;41297;
1414;mg berizal;BERIZAL;MG;3106655;41726;
1415;mg bertopolis;BERTÓPOLIS;MG;3106606;41319;
1416;mg betim;BETIM;MG;3106705;41335;
1417;mg bias fortes;BIAS FORTES;MG;3106804;41351;
1418;mg bicas;BICAS;MG;3106903;41378;
1419;mg biquinhas;BIQUINHAS;MG;3107000;41394;
1420;mg boa esperanca;BOA ESPERANÇA;MG;3107109;41416;
1421;mg bocaina de minas;BOCAINA DE MINAS;MG;3107208;41432;
1422;mg bocaiuva;BOCAIÚVA;MG;3107307;41459;
1423;mg bom despacho;BOM DESPACHO;MG;3107406;41475;
1424;mg bom jardim de minas;BOM JARDIM DE MINAS;MG;3107505;41491;
1425;mg bom jesus da penha;BOM JESUS DA PENHA;MG;3107604;41513;
1426;mg bom jesus do amparo;BOM JESUS DO AMPARO;MG;3107703;41530;
1427;mg bom jesus do galho;BOM JESUS DO GALHO;MG;3107802;41556;
1428;mg bom repouso;BOM REPOUSO;MG;3107901;41572;
1429;mg bom sucesso;BOM SUCESSO;MG;3108008;41599;
1430;mg bonfim;BONFIM;MG;3108107;41610;
1431;mg bonfinopolis de minas;BONFINÓPOLIS DE MINAS;MG;3108206;41637;
1432;mg bonito de minas;BONITO DE MINAS;MG;3108255;41742;
1433;mg borda da mata;BORDA DA MATA;MG;3108305;41653;
1434;mg botelhos;BOTELHOS;MG;3108404;41670;
1435;mg botumirim;BOTUMIRIM;MG;3108503;41696;
1436;mg bras pires;BRÁS PIRES;MG;3108701;41734;
1437;mg brasilandia de minas;BRASILÂNDIA DE MINAS;MG;3108552;40045;
1438;mg brasilia de minas;BRASÍLIA DE MINAS;MG;3108602;41718;
1439;mg braunas;BRAÚNAS;MG;3108800;41750;
1440;mg brazopolis;BRAZÓPOLIS;MG;3108909;41777;
1441;mg brumadinho;BRUMADINHO;MG;3109006;41793;
1442;mg bueno brandao;BUENO BRANDÃO;MG;3109105;41815;
1443;mg buenopolis;BUENÓPOLIS;MG;3109204;41831;
1444;mg bugre;BUGRE;MG;3109253;41769;
1445;mg buritis;BURITIS;MG;3109303;41858;
1446;mg buritizeiro;BURITIZEIRO;MG;3109402;41874;
1447;mg cabeceira grande;CABECEIRA GRANDE;MG;3109451;41785;
1448;mg cabo verde;CABO VERDE;MG;3109501;41890;
1449;mg cachoeira da prata;CACHOEIRA DA PRATA;MG;3109600;41912;
1450;mg cachoeira de minas;CACHOEIRA DE MINAS;MG;3109709;41939;
1451;mg cachoeira de pajeu;CACHOEIRA DE PAJEÚ;MG;3102704;40533;
1452;mg cachoeira dourada;CACHOEIRA DOURADA;MG;3109808;41955;
1453;mg caetanopolis;CAETANÓPOLIS;MG;3109907;41971;
1454;mg caete;CAETÉ;MG;3110004;41998;
1455;mg caiana;CAIANA;MG;3110103;42013;
1456;mg cajuri;CAJURI;MG;3110202;42030;
1457;mg caldas;CALDAS;MG;3110301;42056;
1458;mg camacho;CAMACHO;MG;3110400;42072;
1459;mg camanducaia;CAMANDUCAIA;MG;3110509;42099;
1460;mg cambui;CAMBUÍ;MG;3110608;42110;
1461;mg cambuquira;CAMBUQUIRA;MG;3110707;42137;
1462;mg campanario;CAMPANÁRIO;MG;3110806;42153;
1463;mg campanha;CAMPANHA;MG;3110905;42170;
1464;mg campestre;CAMPESTRE;MG;3111002;42196;
1465;mg campina verde;CAMPINA VERDE;MG;3111101;42218;
1466;mg campo azul;CAMPO AZUL;MG;3111150;41807;
1467;mg campo belo;CAMPO BELO;MG;3111200;42234;
1468;mg campo do meio;CAMPO DO MEIO;MG;3111309;42250;
1469;mg campo florido;CAMPO FLORIDO;MG;3111408;42277;
1470;mg campos altos;CAMPOS ALTOS;MG;3111507;42293;
1471;mg campos gerais;CAMPOS GERAIS;MG;3111606;42315;
1472;mg cana verde;CANA VERDE;MG;3111903;42374;
1473;mg canaa;CANAÃ;MG;3111705;42331;
1474;mg canapolis;CANÁPOLIS;MG;3111804;42358;
1475;mg candeias;CANDEIAS;MG;3112000;42390;
1476;mg cantagalo;CANTAGALO;MG;3112059;41823;
1477;mg caparao;CAPARAÓ;MG;3112109;42412;
1478;mg capela nova;CAPELA NOVA;MG;3112208;42439;
1479;mg capelinha;CAPELINHA;MG;3112307;42455;
1480;mg capetinga;CAPETINGA;MG;3112406;42471;
1481;mg capim branco;CAPIM BRANCO;MG;3112505;42498;
1482;mg capinopolis;CAPINÓPOLIS;MG;3112604;42510;
1483;mg capitao andrade;CAPITÃO ANDRADE;MG;3112653;40061;
1484;mg capitao eneas;CAPITÃO ENÉAS;MG;3112703;42536;
1485;mg capitolio;CAPITÓLIO;MG;3112802;42552;
1486;mg caputira;CAPUTIRA;MG;3112901;42579;
1487;mg carai;CARAÍ;MG;3113008;42595;
1488;mg caranaiba;CARANAÍBA;MG;3113107;42617;
1489;mg carandai;CARANDAÍ;MG;3113206;42633;
1490;mg carangola;CARANGOLA;MG;3113305;42650;
1491;mg caratinga;CARATINGA;MG;3113404;42676;
1492;mg carbonita;CARBONITA;MG;3113503;42692;
1493;mg careacu;CAREAÇU;MG;3113602;42714;
1494;mg carlos chagas;CARLOS CHAGAS;MG;3113701;42730;
1495;mg carmesia;CARMÉSIA;MG;3113800;42757;
1496;mg carmo da cachoeira;CARMO DA CACHOEIRA;MG;3113909;42773;
1497;mg carmo da mata;CARMO DA MATA;MG;3114006;42790;
1498;mg carmo de minas;CARMO DE MINAS;MG;3114105;42811;
1499;mg carmo do cajuru;CARMO DO CAJURU;MG;3114204;42838;
1500;mg carmo do paranaiba;CARMO DO PARANAÍBA;MG;3114303;42854;
1501;mg carmo do rio claro;CARMO DO RIO CLARO;MG;3114402;42870;
1502;mg carmopolis de minas;CARMÓPOLIS DE MINAS;MG;3114501;42897;
1503;mg carneirinho;CARNEIRINHO;MG;3114550;40088;
1504;mg carrancas;CARRANCAS;MG;3114600;42919;
1505;mg carvalhopolis;CARVALHÓPOLIS;MG;3114709;42935;
1506;mg carvalhos;CARVALHOS;MG;3114808;42951;
1507;mg casa grande;CASA GRANDE;MG;3114907;42978;
1508;mg cascalho rico;CASCALHO RICO;MG;3115003;42994;
1509;mg cassia;CÁSSIA;MG;3115102;43010;
1510;mg cataguases;CATAGUASES;MG;3115300;43052;
1511;mg catas altas;CATAS ALTAS;MG;3115359;41840;
1512;mg catas altas da noruega;CATAS ALTAS DA NORUEGA;MG;3115409;43079;
1513;mg catuji;CATUJI;MG;3115458;40100;
1514;mg catuti;CATUTI;MG;3115474;41866;
1515;mg caxambu;CAXAMBU;MG;3115508;43095;
1516;mg cedro do abaete;CEDRO DO ABAETÉ;MG;3115607;43117;
1517;mg central de minas;CENTRAL DE MINAS;MG;3115706;43133;
1518;mg centralina;CENTRALINA;MG;3115805;43150;
1519;mg chacara;CHÁCARA;MG;3115904;43176;
1520;mg chale;CHALÉ;MG;3116001;43192;
1521;mg chapada do norte;CHAPADA DO NORTE;MG;3116100;43214;
1522;mg chapada gaucha;CHAPADA GAÚCHA;MG;3116159;41882;
1523;mg chiador;CHIADOR;MG;3116209;43230;
1524;mg cipotanea;CIPOTÂNEA;MG;3116308;43257;
1525;mg claraval;CLARAVAL;MG;3116407;43273;
1526;mg claro dos pocoes;CLARO DOS POÇÕES;MG;3116506;43290;
1527;mg claudio;CLÁUDIO;MG;3116605;43311;
1528;mg coimbra;COIMBRA;MG;3116704;43338;
1529;mg coluna;COLUNA;MG;3116803;43354;
1530;mg comendador gomes;COMENDADOR GOMES;MG;3116902;43370;
1531;mg comercinho;COMERCINHO;MG;3117009;43397;
1532;mg conceicao da aparecida;CONCEIÇÃO DA APARECIDA;MG;3117108;43419;
1533;mg conceicao da barra de minas;CONCEIÇÃO DA BARRA DE MINAS;MG;3115201;43036;
1534;mg conceicao das alagoas;CONCEIÇÃO DAS ALAGOAS;MG;3117306;43451;
1535;mg conceicao das pedras;CONCEIÇÃO DAS PEDRAS;MG;3117207;43435;
1536;mg conceicao de ipanema;CONCEIÇÃO DE IPANEMA;MG;3117405;43478;
1537;mg conceicao do mato dentro;CONCEIÇÃO DO MATO DENTRO;MG;3117504;43494;
1538;mg conceicao do para;CONCEIÇÃO DO PARÁ;MG;3117603;43516;
1539;mg conceicao do rio verde;CONCEIÇÃO DO RIO VERDE;MG;3117702;43532;
1540;mg conceicao dos ouros;CONCEIÇÃO DOS OUROS;MG;3117801;43559;
1541;mg conego marinho;CÔNEGO MARINHO;MG;3117836;41904;
1542;mg confins;CONFINS;MG;3117876;41920;
1543;mg congonhal;CONGONHAL;MG;3117900;43575;
1544;mg congonhas;CONGONHAS;MG;3118007;43591;
1545;mg congonhas do norte;CONGONHAS DO NORTE;MG;3118106;43613;
1546;mg conquista;CONQUISTA;MG;3118205;43630;
1547;mg conselheiro lafaiete;CONSELHEIRO LAFAIETE;MG;3118304;43656;
1548;mg conselheiro pena;CONSELHEIRO PENA;MG;3118403;43672;
1549;mg consolacao;CONSOLAÇÃO;MG;3118502;43699;
1550;mg contagem;CONTAGEM;MG;3118601;43710;
1551;mg coqueiral;COQUEIRAL;MG;3118700;43737;
1552;mg coracao de jesus;CORAÇÃO DE JESUS;MG;3118809;43753;
1553;mg cordisburgo;CORDISBURGO;MG;3118908;43770;
1554;mg cordislandia;CORDISLÂNDIA;MG;3119005;43796;
1555;mg corinto;CORINTO;MG;3119104;43818;
1556;mg coroaci;COROACI;MG;3119203;43834;
1557;mg coromandel;COROMANDEL;MG;3119302;43850;
1558;mg coronel fabriciano;CORONEL FABRICIANO;MG;3119401;43877;
1559;mg coronel murta;CORONEL MURTA;MG;3119500;43893;
1560;mg coronel pacheco;CORONEL PACHECO;MG;3119609;43915;
1561;mg coronel xavier chaves;CORONEL XAVIER CHAVES;MG;3119708;43931;
1562;mg corrego danta;CÓRREGO DANTA;MG;3119807;43958;
1563;mg corrego do bom jesus;CÓRREGO DO BOM JESUS;MG;3119906;43974;
1564;mg corrego fundo;CÓRREGO FUNDO;MG;3119955;41947;
1565;mg corrego novo;CÓRREGO NOVO;MG;3120003;43990;
1566;mg couto de magalhaes de minas;COUTO DE MAGALHÃES DE MINAS;MG;3120102;44016;
1567;mg crisolita;CRISÓLITA;MG;3120151;41963;
1568;mg cristais;CRISTAIS;MG;3120201;44032;
1569;mg cristalia;CRISTÁLIA;MG;3120300;44059;
1570;mg cristiano otoni;CRISTIANO OTONI;MG;3120409;44075;
1571;mg cristina;CRISTINA;MG;3120508;44091;
1572;mg crucilandia;CRUCILÂNDIA;MG;3120607;44113;
1573;mg cruzeiro da fortaleza;CRUZEIRO DA FORTALEZA;MG;3120706;44130;
1574;mg cruzilia;CRUZÍLIA;MG;3120805;44156;
1575;mg cuparaque;CUPARAQUE;MG;3120839;41980;
1576;mg curral de dentro;CURRAL DE DENTRO;MG;3120870;42005;
1577;mg curvelo;CURVELO;MG;3120904;44172;
1578;mg datas;DATAS;MG;3121001;44199;
1579;mg delfim moreira;DELFIM MOREIRA;MG;3121100;44210;
1580;mg delfinopolis;DELFINÓPOLIS;MG;3121209;44237;
1581;mg delta;DELTA;MG;3121258;42021;
1582;mg descoberto;DESCOBERTO;MG;3121308;44253;
1583;mg desterro de entre rios;DESTERRO DE ENTRE RIOS;MG;3121407;44270;
1584;mg desterro do melo;DESTERRO DO MELO;MG;3121506;44296;
1585;mg diamantina;DIAMANTINA;MG;3121605;44318;
1586;mg diogo de vasconcelos;DIOGO DE VASCONCELOS;MG;3121704;44334;
1587;mg dionisio;DIONÍSIO;MG;3121803;44350;
1588;mg divinesia;DIVINÉSIA;MG;3121902;44377;
1589;mg divino;DIVINO;MG;3122009;44393;
1590;mg divino das laranjeiras;DIVINO DAS LARANJEIRAS;MG;3122108;44415;
1591;mg divinolandia de minas;DIVINOLÂNDIA DE MINAS;MG;3122207;44431;
1592;mg divinopolis;DIVINÓPOLIS;MG;3122306;44458;
1593;mg divisa alegre;DIVISA ALEGRE;MG;3122355;40126;
1594;mg divisa nova;DIVISA NOVA;MG;3122405;44474;
1595;mg divisopolis;DIVISÓPOLIS;MG;3122454;40142;
1596;mg dom bosco;DOM BOSCO;MG;3122470;42048;
1597;mg dom cavati;DOM CAVATI;MG;3122504;44490;
1598;mg dom joaquim;DOM JOAQUIM;MG;3122603;44512;
1599;mg dom silverio;DOM SILVÉRIO;MG;3122702;44539;
1600;mg dom vicoso;DOM VIÇOSO;MG;3122801;44555;
1601;mg dona eusebia;DONA EUSÉBIA;MG;3122900;44571;
1602;mg dores de campos;DORES DE CAMPOS;MG;3123007;44598;
1603;mg dores de guanhaes;DORES DE GUANHÃES;MG;3123106;44610;
1604;mg dores do indaia;DORES DO INDAIÁ;MG;3123205;44636;
1605;mg dores do turvo;DORES DO TURVO;MG;3123304;44652;
1606;mg doresopolis;DORESÓPOLIS;MG;3123403;44679;
1607;mg douradoquara;DOURADOQUARA;MG;3123502;44695;
1608;mg durande;DURANDÉ;MG;3123528;40169;
1609;mg eloi mendes;ELÓI MENDES;MG;3123601;44717;
1610;mg engenheiro caldas;ENGENHEIRO CALDAS;MG;3123700;44733;
1611;mg engenheiro navarro;ENGENHEIRO NAVARRO;MG;3123809;44750;
1612;mg entre folhas;ENTRE FOLHAS;MG;3123858;40185;
1613;mg entre rios de minas;ENTRE RIOS DE MINAS;MG;3123908;44776;
1614;mg ervalia;ERVÁLIA;MG;3124005;44792;
1615;mg esmeraldas;ESMERALDAS;MG;3124104;44814;
1616;mg espera feliz;ESPERA FELIZ;MG;3124203;44830;
1617;mg espinosa;ESPINOSA;MG;3124302;44857;
1618;mg espirito santo do dourado;ESPÍRITO SANTO DO DOURADO;MG;3124401;44873;
1619;mg estiva;ESTIVA;MG;3124500;44890;
1620;mg estrela dalva;ESTRELA DALVA;MG;3124609;44911;
1621;mg estrela do indaia;ESTRELA DO INDAIÁ;MG;3124708;44938;
1622;mg estrela do sul;ESTRELA DO SUL;MG;3124807;44954;
1623;mg eugenopolis;EUGENÓPOLIS;MG;3124906;44970;
1624;mg ewbank da camara;EWBANK DA CÂMARA;MG;3125002;44997;
1625;mg extrema;EXTREMA;MG;3125101;45012;
1626;mg fama;FAMA;MG;3125200;45039;
1627;mg faria lemos;FARIA LEMOS;MG;3125309;45055;
1628;mg felicio dos santos;FELÍCIO DOS SANTOS;MG;3125408;45071;
1629;mg felisburgo;FELISBURGO;MG;3125606;45110;
1630;mg felixlandia;FELIXLÂNDIA;MG;3125705;45136;
1631;mg fernandes tourinho;FERNANDES TOURINHO;MG;3125804;45152;
1632;mg ferros;FERROS;MG;3125903;45179;
1633;mg fervedouro;FERVEDOURO;MG;3125952;40207;
1634;mg florestal;FLORESTAL;MG;3126000;45195;
1635;mg formiga;FORMIGA;MG;3126109;45217;
1636;mg formoso;FORMOSO;MG;3126208;45233;
1637;mg fortaleza de minas;FORTALEZA DE MINAS;MG;3126307;45250;
1638;mg fortuna de minas;FORTUNA DE MINAS;MG;3126406;45276;
1639;mg francisco badaro;FRANCISCO BADARÓ;MG;3126505;45292;
1640;mg francisco dumont;FRANCISCO DUMONT;MG;3126604;45314;
1641;mg francisco sa;FRANCISCO SÁ;MG;3126703;45330;
1642;mg franciscopolis;FRANCISCÓPOLIS;MG;3126752;40223;
1643;mg frei gaspar;FREI GASPAR;MG;3126802;45357;
1644;mg frei inocencio;FREI INOCÊNCIO;MG;3126901;45373;
1645;mg frei lagonegro;FREI LAGONEGRO;MG;3126950;42064;
1646;mg fronteira;FRONTEIRA;MG;3127008;45390;
1647;mg fronteira dos vales;FRONTEIRA DOS VALES;MG;3127057;49352;
1648;mg fruta de leite;FRUTA DE LEITE;MG;3127073;42080;
1649;mg frutal;FRUTAL;MG;3127107;45411;
1650;mg funilandia;FUNILÂNDIA;MG;3127206;45438;
1651;mg galileia;GALILÉIA;MG;3127305;45454;
1652;mg gameleiras;GAMELEIRAS;MG;3127339;42102;
1653;mg glaucilandia;GLAUCILÂNDIA;MG;3127354;42129;
1654;mg goiabeira;GOIABEIRA;MG;3127370;42145;
1655;mg goiana;GOIANÁ;MG;3127388;42161;
1656;mg goncalves;GONÇALVES;MG;3127404;45470;
1657;mg gonzaga;GONZAGA;MG;3127503;45497;
1658;mg gouveia;GOUVEIA;MG;3127602;45519;
1659;mg governador valadares;GOVERNADOR VALADARES;MG;3127701;45535;
1660;mg grao mogol;GRÃO MOGOL;MG;3127800;45551;
1661;mg grupiara;GRUPIARA;MG;3127909;45578;
1662;mg guanhaes;GUANHÃES;MG;3128006;45594;
1663;mg guape;GUAPÉ;MG;3128105;45616;
1664;mg guaraciaba;GUARACIABA;MG;3128204;45632;
1665;mg guaraciama;GUARACIAMA;MG;3128253;42188;
1666;mg guaranesia;GUARANÉSIA;MG;3128303;45659;
1667;mg guarani;GUARANI;MG;3128402;45675;
1668;mg guarara;GUARARÁ;MG;3128501;45691;
1669;mg guarda-mor;GUARDA-MOR;MG;3128600;45713;
1670;mg guaxupe;GUAXUPÉ;MG;3128709;45730;
1671;mg guidoval;GUIDOVAL;MG;3128808;45756;
1672;mg guimarania;GUIMARÂNIA;MG;3128907;45772;
1673;mg guiricema;GUIRICEMA;MG;3129004;45799;
1674;mg gurinhata;GURINHATÃ;MG;3129103;45810;
1675;mg heliodora;HELIODORA;MG;3129202;45837;
1676;mg iapu;IAPU;MG;3129301;45853;
1677;mg ibertioga;IBERTIOGA;MG;3129400;45870;
1678;mg ibia;IBIÁ;MG;3129509;45896;
1679;mg ibiai;IBIAÍ;MG;3129608;45918;
1680;mg ibiracatu;IBIRACATU;MG;3129657;42200;
1681;mg ibiraci;IBIRACI;MG;3129707;45934;
1682;mg ibirite;IBIRITÉ;MG;3129806;45950;
1683;mg ibitiura de minas;IBITIÚRA DE MINAS;MG;3129905;45977;
1684;mg ibituruna;IBITURUNA;MG;3130002;45993;
1685;mg icarai de minas;ICARAÍ DE MINAS;MG;3130051;40240;
1686;mg igarape;IGARAPÉ;MG;3130101;46019;
1687;mg igaratinga;IGARATINGA;MG;3130200;46035;
1688;mg iguatama;IGUATAMA;MG;3130309;46051;
1689;mg ijaci;IJACI;MG;3130408;46078;
1690;mg ilicinea;ILICÍNEA;MG;3130507;46094;
1691;mg imbe de minas;IMBÉ DE MINAS;MG;3130556;42226;
1692;mg inconfidentes;INCONFIDENTES;MG;3130606;46116;
1693;mg indaiabira;INDAIABIRA;MG;3130655;42242;
1694;mg indianopolis;INDIANÓPOLIS;MG;3130705;46132;
1695;mg ingai;INGAÍ;MG;3130804;46159;
1696;mg inhapim;INHAPIM;MG;3130903;46175;
1697;mg inhauma;INHAÚMA;MG;3131000;46191;
1698;mg inimutaba;INIMUTABA;MG;3131109;46213;
1699;mg ipaba;IPABA;MG;3131158;40266;
1700;mg ipanema;IPANEMA;MG;3131208;46230;
1701;mg ipatinga;IPATINGA;MG;3131307;46256;
1702;mg ipiacu;IPIAÇU;MG;3131406;46272;
1703;mg ipuiuna;IPUIÚNA;MG;3131505;46299;
1704;mg irai de minas;IRAÍ DE MINAS;MG;3131604;46310;
1705;mg itabira;ITABIRA;MG;3131703;46337;
1706;mg itabirinha;ITABIRINHA;MG;3131802;46353;
1707;mg itabirito;ITABIRITO;MG;3131901;46370;
1708;mg itacambira;ITACAMBIRA;MG;3132008;46396;
1709;mg itacarambi;ITACARAMBI;MG;3132107;46418;
1710;mg itaguara;ITAGUARA;MG;3132206;46434;
1711;mg itaipe;ITAIPÉ;MG;3132305;46450;
1712;mg itajuba;ITAJUBÁ;MG;3132404;46477;
1713;mg itamarandiba;ITAMARANDIBA;MG;3132503;46493;
1714;mg itamarati de minas;ITAMARATI DE MINAS;MG;3132602;46515;
1715;mg itambacuri;ITAMBACURI;MG;3132701;46531;
1716;mg itambe do mato dentro;ITAMBÉ DO MATO DENTRO;MG;3132800;46558;
1717;mg itamogi;ITAMOGI;MG;3132909;46574;
1718;mg itamonte;ITAMONTE;MG;3133006;46590;
1719;mg itanhandu;ITANHANDU;MG;3133105;46612;
1720;mg itanhomi;ITANHOMI;MG;3133204;46639;
1721;mg itaobim;ITAOBIM;MG;3133303;46655;
1722;mg itapagipe;ITAPAGIPE;MG;3133402;46671;
1723;mg itapecerica;ITAPECERICA;MG;3133501;46698;
1724;mg itapeva;ITAPEVA;MG;3133600;46710;
1725;mg itatiaiucu;ITATIAIUÇU;MG;3133709;46736;
1726;mg itau de minas;ITAÚ DE MINAS;MG;3133758;54453;
1727;mg itauna;ITAÚNA;MG;3133808;46752;
1728;mg itaverava;ITAVERAVA;MG;3133907;46779;
1729;mg itinga;ITINGA;MG;3134004;46795;
1730;mg itueta;ITUETA;MG;3134103;46817;
1731;mg ituiutaba;ITUIUTABA;MG;3134202;46833;
1732;mg itumirim;ITUMIRIM;MG;3134301;46850;
1733;mg iturama;ITURAMA;MG;3134400;46876;
1734;mg itutinga;ITUTINGA;MG;3134509;46892;
1735;mg jaboticatubas;JABOTICATUBAS;MG;3134608;46914;
1736;mg jacinto;JACINTO;MG;3134707;46930;
1737;mg jacui;JACUÍ;MG;3134806;46957;
1738;mg jacutinga;JACUTINGA;MG;3134905;46973;
1739;mg jaguaracu;JAGUARAÇU;MG;3135001;46990;
1740;mg jaiba;JAÍBA;MG;3135050;40282;
1741;mg jampruca;JAMPRUCA;MG;3135076;40304;
1742;mg janauba;JANAÚBA;MG;3135100;47015;
1743;mg januaria;JANUÁRIA;MG;3135209;47031;
1744;mg japaraiba;JAPARAÍBA;MG;3135308;47058;
1745;mg japonvar;JAPONVAR;MG;3135357;42269;
1746;mg jeceaba;JECEABA;MG;3135407;47074;
1747;mg jenipapo de minas;JENIPAPO DE MINAS;MG;3135456;42285;
1748;mg jequeri;JEQUERI;MG;3135506;47090;
1749;mg jequitai;JEQUITAÍ;MG;3135605;47112;
1750;mg jequitiba;JEQUITIBÁ;MG;3135704;47139;
1751;mg jequitinhonha;JEQUITINHONHA;MG;3135803;47155;
1752;mg jesuania;JESUÂNIA;MG;3135902;47171;
1753;mg joaima;JOAÍMA;MG;3136009;47198;
1754;mg joanesia;JOANÉSIA;MG;3136108;47210;
1755;mg joao monlevade;JOÃO MONLEVADE;MG;3136207;47236;
1756;mg joao pinheiro;JOÃO PINHEIRO;MG;3136306;47252;
1757;mg joaquim felicio;JOAQUIM FELÍCIO;MG;3136405;47279;
1758;mg jordania;JORDÂNIA;MG;3136504;47295;
1759;mg jose goncalves de minas;JOSÉ GONÇALVES DE MINAS;MG;3136520;42307;
1760;mg jose raydan;JOSÉ RAYDAN;MG;3136553;42323;
1761;mg josenopolis;JOSENÓPOLIS;MG;3136579;40924;
1762;mg juatuba;JUATUBA;MG;3136652;40320;
1763;mg juiz de fora;JUIZ DE FORA;MG;3136702;47333;
1764;mg juramento;JURAMENTO;MG;3136801;47350;
1765;mg juruaia;JURUAIA;MG;3136900;47376;
1766;mg juvenilia;JUVENÍLIA;MG;3136959;40940;
1767;mg ladainha;LADAINHA;MG;3137007;47392;
1768;mg lagamar;LAGAMAR;MG;3137106;47414;
1769;mg lagoa da prata;LAGOA DA PRATA;MG;3137205;47430;
1770;mg lagoa dos patos;LAGOA DOS PATOS;MG;3137304;47457;
1771;mg lagoa dourada;LAGOA DOURADA;MG;3137403;47473;
1772;mg lagoa formosa;LAGOA FORMOSA;MG;3137502;47490;
